Timestamp,1. Age Group,2. Education Level,3. Employment Status,4. Area of Residence,5. Do you have a bank account?,6. Do you use mobile wallet services (JazzCash/Easypaisa etc.)?,7. Have you ever applied for a loan?,8. Have you ever used a mobile loan app (digital lending app)?,"9. If yes, was the loan approved?","10. If approved, what was the loan amount?",11. Do you think mobile loan apps make it easier for women to get loans?,12. Do you trust mobile app-based loan systems?,13. Do you think women face more difficulty than men in getting loans?,14. What is the biggest barrier for women to get loans?,15. Do you think alternative credit scoring can be biased against women?,16. Do you think digital credit improves women’s financial independence?,17. Do you think digital loans help women in business/self-employment?,18. Do you think digital loans increase debt problems due to high interest?,19. What should be improved in digital loan systems for women?,20. Any additional comments/suggestions?
2026-05-07 10:18:05.298,18–24,College/University,Student,Urban,Yes,Yes,No,No,Not applicable,Not applicable,Maybe,No,Yes,No credit history,Yes,Yes,Yes,Yes,"Lower interest rates, More transparency in scoring, Better customer support",
2026-05-07 10:37:01.668,18–24,College/University,Student,Urban,Yes,Yes,No,No,Not applicable,Not applicable,Maybe,Partially,Not sure,No credit history,Yes,Yes,Yes,Yes,"Lower interest rates, Longer repayment time, Better customer support, Better privacy protection","Digital loan systems should be more secure, affordable, and user-friendly for women. Clear policies, quick support, and flexible repayment options can help women feel more confident and financially independent."
2026-05-07 13:50:11.319,18–24,College/University,Student,Urban,No,Yes,No,No,Not applicable,Not applicable,Maybe,Partially,Not sure,Low income,Not sure,Somewhat,Not sure,Maybe,Longer repayment time,no
2026-05-07 14:16:57.541,35–44,Postgraduate,Self-employed / Business,Urban,Yes,Yes,No,No,Not applicable,Not applicable,Maybe,Partially,Not sure,Family/cultural restrictions,Not sure,Somewhat,Yes,Yes,Better privacy protection,
2026-05-07 15:38:47.566,25–34,College/University,Self-employed / Business,Urban,Yes,No,No,Yes,No,Not applicable,No,No,Not sure,Low income,No,Yes,Yes,Maybe,Lower interest rates,
2026-05-07 19:04:09.750,25–34,Postgraduate,Self-employed / Business,Urban,No,Yes,No,No,Not applicable,"5,000–20,000",Yes,Yes,No,Family/cultural restrictions,No,Yes,Yes,No,Lower interest rates,
2026-05-07 21:16:08.956,18–24,College/University,Student,Urban,Yes,Yes,No,No,Not applicable,Not applicable,Maybe,No,Not sure,Low income,No,Somewhat,Yes,Yes,"Lower interest rates, Better privacy protection",
2026-05-07 21:48:30.773,18–24,College/University,Student,Urban,No,No,No,Yes,Yes,"Less than 5,000",Maybe,Partially,Not sure,Low income,Not sure,Yes,Yes,Yes,Lower interest rates,","
2026-05-07 21:58:54.829,18–24,College/University,Student,Urban,Yes,Yes,No,No,Not applicable,Not applicable,No,No,Yes,No collateral,Yes,Yes,Yes,Yes,More transparency in scoring,"I think digital loans make fair, simple, and transparent, so women clearly understand approval, interest, and risks. 
Also add financial education and strong data privacy so they can use it safely and confidently."
2026-05-07 22:05:35.105,18–24,College/University,Student,Urban,Yes,Yes,No,No,Not applicable,Not applicable,No,No,Yes,Family/cultural restrictions,No,Yes,Yes,Yes,"Longer repayment time, More transparency in scoring",Loan apps want user to allow to access all contacts and all pictures and also scammers blackmail user when the loan is not returned. 
2026-05-07 22:13:32.444,18–24,College/University,Student,Urban,No,No,No,No,Not applicable,Not applicable,Maybe,Partially,Not sure,Other,Not sure,Somewhat,Not sure,Maybe,"Lower interest rates, Better privacy protection",Dk
2026-05-07 22:25:13.478,18–24,College/University,Student,Urban,No,Yes,No,No,Not applicable,Not applicable,Maybe,Partially,Yes,Other,Not sure,Yes,Not sure,Maybe,"Lower interest rates, More transparency in scoring, Financial literacy programs",
2026-05-08 02:18:59.490,25–34,College/University,Student,Urban,Yes,Yes,No,No,Not applicable,Not applicable,Maybe,No,Not sure,Low income,Not sure,Somewhat,Yes,Maybe,Financial literacy programs,
2026-05-08 03:06:50.438,18–24,College/University,Employed,Semi-urban,Yes,Yes,Yes (from friends/family),No,Not applicable,Not applicable,Maybe,No,No,Other,Not sure,Somewhat,Not sure,Maybe,"Longer repayment time, Better customer support",
2026-05-08 06:17:56.867,18–24,College/University,Student,Urban,No,Yes,No,No,No,Not applicable,Maybe,No,Not sure,No collateral,Not sure,Yes,Yes,Yes,"Better privacy protection, Financial literacy programs",
